id,course_id,title,description,due_date,total_points,assignment_type,priority,is_published,created_by,created_at
77777777-7777-7777-7777-777777777701,33333333-3333-3333-3333-333333333301,Python Basics - Variables and Data Types,"Create a program that demonstrates the use of different data types in Python including strings, integers, floats, and booleans.",2024-09-25 23:59:00,100,homework,medium,true,22222222-2222-2222-2222-222222222301,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777702,33333333-3333-3333-3333-333333333301,Control Structures - Loops and Conditionals,Build a calculator program using if-else statements and loops to handle multiple calculations.,2024-10-02 23:59:00,150,homework,medium,true,22222222-2222-2222-2222-222222222301,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777703,33333333-3333-3333-3333-333333333301,Functions and Modules,Create a library management system using functions and demonstrate module imports.,2024-10-09 23:59:00,200,project,high,true,22222222-2222-2222-2222-222222222301,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777704,33333333-3333-3333-3333-333333333301,Midterm Exam,"Comprehensive exam covering Python fundamentals, data types, control structures, and functions.",2024-10-16 14:00:00,300,exam,high,true,22222222-2222-2222-2222-222222222301,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777705,33333333-3333-3333-3333-333333333306,Search Algorithms Implementation,Implement breadth-first search and depth-first search algorithms for pathfinding.,2024-09-28 23:59:00,150,homework,medium,true,22222222-2222-2222-2222-222222222302,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777706,33333333-3333-3333-3333-333333333306,Knowledge Representation,Design a knowledge base using propositional logic for a simple expert system.,2024-10-05 23:59:00,200,project,high,true,22222222-2222-2222-2222-222222222302,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777708,33333333-3333-3333-3333-333333333302,Linked List Implementation,"Implement singly and doubly linked lists with insertion, deletion, and traversal operations.",2024-09-30 23:59:00,175,homework,high,true,22222222-2222-2222-2222-222222222301,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777709,33333333-3333-3333-3333-333333333302,Stack and Queue Applications,Solve bracket matching and job scheduling problems using stacks and queues.,2024-10-07 23:59:00,150,homework,medium,true,22222222-2222-2222-2222-222222222301,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777710,33333333-3333-3333-3333-333333333302,Tree Algorithms,"Implement binary search tree with insertion, deletion, and different traversal methods.",2024-10-14 23:59:00,200,project,high,true,22222222-2222-2222-2222-222222222301,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777711,33333333-3333-3333-3333-333333333307,Linear Regression Analysis,Build a linear regression model to predict housing prices using scikit-learn.,2024-10-01 23:59:00,150,homework,medium,true,22222222-2222-2222-2222-222222222302,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777712,33333333-3333-3333-3333-333333333307,Classification Project,Develop a classification model for email spam detection using multiple algorithms.,2024-10-08 23:59:00,250,project,high,true,22222222-2222-2222-2222-222222222302,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777713,33333333-3333-3333-3333-333333333325,Personal Portfolio Website,"Create a responsive personal portfolio website using HTML, CSS, and JavaScript.",2024-09-29 23:59:00,200,project,high,true,22222222-2222-2222-2222-222222222307,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777714,33333333-3333-3333-3333-333333333325,Interactive Web Form,Build a contact form with client-side validation and dynamic content.,2024-10-06 23:59:00,125,homework,medium,true,22222222-2222-2222-2222-222222222307,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777715,33333333-3333-3333-3333-333333333322,Database Design Project,Design and implement a database for a library management system with proper normalization.,2024-10-03 23:59:00,250,project,high,true,22222222-2222-2222-2222-222222222306,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777716,33333333-3333-3333-3333-333333333322,SQL Query Optimization,Write and optimize complex SQL queries for performance improvement.,2024-10-10 23:59:00,150,homework,medium,true,22222222-2222-2222-2222-222222222306,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777717,33333333-3333-3333-3333-333333333318,Vulnerability Assessment,Perform a security assessment on a test web application and document findings.,2024-10-04 23:59:00,200,project,high,true,22222222-2222-2222-2222-222222222305,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777718,33333333-3333-3333-3333-333333333318,Network Security Analysis,Analyze network traffic logs to identify potential security threats.,2024-10-11 23:59:00,150,homework,medium,true,22222222-2222-2222-2222-222222222305,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777719,33333333-3333-3333-3333-333333333314,Requirements Analysis,Create detailed requirements documentation for a software project using UML diagrams.,2024-10-05 23:59:00,175,homework,high,true,22222222-2222-2222-2222-222222222304,2025-09-17 09:34:30.441587
77777777-7777-7777-7777-777777777720,33333333-3333-3333-3333-333333333314,Agile Team Project,Work in teams to develop a software application using Scrum methodology.,2024-10-19 23:59:00,300,project,high,true,22222222-2222-2222-2222-222222222304,2025-09-17 09:34:30.441587