id,student_id,course_id,enrollment_date,status,final_grade
44444444-4444-4444-4444-444444444401,22222222-2222-2222-2222-222222222101,33333333-3333-3333-3333-333333333301,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444402,22222222-2222-2222-2222-222222222101,33333333-3333-3333-3333-333333333310,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444403,22222222-2222-2222-2222-222222222102,33333333-3333-3333-3333-333333333306,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444404,22222222-2222-2222-2222-222222222102,33333333-3333-3333-3333-333333333301,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444405,22222222-2222-2222-2222-222222222103,33333333-3333-3333-3333-333333333310,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444406,22222222-2222-2222-2222-222222222104,33333333-3333-3333-3333-333333333314,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444407,22222222-2222-2222-2222-222222222105,33333333-3333-3333-3333-333333333318,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444408,22222222-2222-2222-2222-222222222106,33333333-3333-3333-3333-333333333302,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444409,22222222-2222-2222-2222-222222222106,33333333-3333-3333-3333-333333333303,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444410,22222222-2222-2222-2222-222222222107,33333333-3333-3333-3333-333333333322,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444411,22222222-2222-2222-2222-222222222107,33333333-3333-3333-3333-333333333323,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444412,22222222-2222-2222-2222-222222222108,33333333-3333-3333-3333-333333333325,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444413,22222222-2222-2222-2222-222222222108,33333333-3333-3333-3333-333333333326,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444414,22222222-2222-2222-2222-222222222109,33333333-3333-3333-3333-333333333329,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444415,22222222-2222-2222-2222-222222222110,33333333-3333-3333-3333-333333333307,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444416,22222222-2222-2222-2222-222222222121,33333333-3333-3333-3333-333333333319,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444417,22222222-2222-2222-2222-222222222111,33333333-3333-3333-3333-333333333304,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444418,22222222-2222-2222-2222-222222222111,33333333-3333-3333-3333-333333333305,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444419,22222222-2222-2222-2222-222222222112,33333333-3333-3333-3333-333333333311,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444420,22222222-2222-2222-2222-222222222112,33333333-3333-3333-3333-333333333312,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444421,22222222-2222-2222-2222-222222222113,33333333-3333-3333-3333-333333333320,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444422,22222222-2222-2222-2222-222222222114,33333333-3333-3333-3333-333333333315,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444423,22222222-2222-2222-2222-222222222114,33333333-3333-3333-3333-333333333316,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444424,22222222-2222-2222-2222-222222222115,33333333-3333-3333-3333-333333333324,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444425,22222222-2222-2222-2222-222222222122,33333333-3333-3333-3333-333333333317,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444426,22222222-2222-2222-2222-222222222125,33333333-3333-3333-3333-333333333330,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444427,22222222-2222-2222-2222-222222222116,33333333-3333-3333-3333-333333333308,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444428,22222222-2222-2222-2222-222222222117,33333333-3333-3333-3333-333333333327,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444429,22222222-2222-2222-2222-222222222117,33333333-3333-3333-3333-333333333328,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444430,22222222-2222-2222-2222-222222222118,33333333-3333-3333-3333-333333333309,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444431,22222222-2222-2222-2222-222222222119,33333333-3333-3333-3333-333333333330,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444432,22222222-2222-2222-2222-222222222120,33333333-3333-3333-3333-333333333312,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444433,22222222-2222-2222-2222-222222222120,33333333-3333-3333-3333-333333333313,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444434,22222222-2222-2222-2222-222222222124,33333333-3333-3333-3333-333333333327,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444435,22222222-2222-2222-2222-222222222124,33333333-3333-3333-3333-333333333328,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444436,22222222-2222-2222-2222-222222222123,33333333-3333-3333-3333-333333333322,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444501,22222222-2222-2222-2222-222222222106,33333333-3333-3333-3333-333333333301,2024-01-15 00:00:00,completed,A-
44444444-4444-4444-4444-444444444502,22222222-2222-2222-2222-222222222107,33333333-3333-3333-3333-333333333301,2024-01-15 00:00:00,completed,A
44444444-4444-4444-4444-444444444503,22222222-2222-2222-2222-222222222111,33333333-3333-3333-3333-333333333302,2024-01-15 00:00:00,completed,B+
44444444-4444-4444-4444-444444444504,22222222-2222-2222-2222-222222222112,33333333-3333-3333-3333-333333333310,2024-01-15 00:00:00,completed,A
44444444-4444-4444-4444-444444444505,22222222-2222-2222-2222-222222222116,33333333-3333-3333-3333-333333333307,2024-01-15 00:00:00,completed,A-